,name,symbol
0,Bitcoin,BTC
1,Litecoin,LTC
2,Namecoin,NMC
3,SwiftCoin,STC
4,Bytecoin,BCN
5,Peercoin,PPC
6,Dogecoin,DOGE
7,Feathercoin,FTC
8,Gridcoin,GRC
9,Primecoin,XPM
10,Ripple,XRP
11,Nxt,NXT
12,Skycoin,SKY
13,Auroracoin,AUR
14,Coinye,KOI
15,Dash,DASH
16,NEO,NEO
17,MazaCoin,MZC
18,Monero,XMR
19,NEM,XEM
20,PotCoin,POT
21,Synereo AMP,AMP
22,Titcoin,TIT
23,Verge,XVG
24,Stellar,XLM
25,Vertcoin,VTC
26,"Ether or ""Ethereum""",ETH
27,Ethereum Classic,ETC
28,Tether,USDT
29,Neucoin,NEU
30,Decred,DCR
31,Lisk,LSK
32,Zcash,ZEC
33,BitConnect,BCC
34,Bitcoin Cash,BCH
35,EOS.IO,EOS
36,Cardano,ADA
37,KodakCoin,
38,Petro,
39,Bitcoin Private,BTCP
